	CAMK1G	HGF	MAP2K3	HSPA5	KITLG	MAPK9	TAB2	CAMK2B	MAP2K4	FGFR2	FGFR3	CAMK2A	CDC42	MAP2K7	FGFR1	ARAF	GSK3B	FLT3LG	ESR1	MAP3K1	JAK2	MAPK1	PDGFB	TAB1	IL2RB	SOS2	HIF1A	RPS6KA5	MAPK3	AKT2	JAK3	MET	MAPK8	YWHAE	MAP2K6	AREG	MAPK10	MAPK14	GHR	PRLR	PDGFRB	STAT1	SOS1	ATF2	AKT3	ATF6	CREB1	PTK2B	FLT3	PREX1	EREG	TNFSF14	PRKCG	ELK1	MAP2K2	TRAF2	TICAM1	YWHAH	RAC2	MAP3K10	RAF1	KRAS	CAMK1	YWHAQ	IL6ST	PDGFRA	MAP3K7	RAC1	GH2	TXN	TLR4	MYC	ARRB1	LEF1	EGF	ESR2	AKT1	ARNT	ACP1	CALM2	CAMK2D	EGFR	IL2RG	CAMK2G	TCF7L2	PTPRJ	PAK1	DOCK1	CAMK4	PRKCA	MAPK13	KIT	TAB3	BRAF	TNFRSF14	CALM3	RPS6KA4	JAK1	TGFA	TLR3	YWHAZ	PRKCB	STAT6	YWHAB	CRK	CTNNB1	STAT3	MAP2K1	RAC3	YWHAG	FOS	PRL	MYD88	STAT5B	HRAS	TRAF6	JUN	GRB2	UBE2N	ERN1	PTPN11	IRAK1	SOCS3	MAPK11	MAPK12	TLR7	SRC	MAP3K5	PDGFA	IRAK4	CALM1	NRAS	LTA	TLR9	TICAM2	GH1
HT29	0	0.111031312388744	5.52638186256192	7.65449282588346	4.25550073314839	4.33628338786443	4.49505552836802	0.495695162624069	2.55336050333533	4.45285896471381	4.5909612413426	0	7.5682601688014	4.40258575823259	0.238786859587116	5.41650199286742	5.18942924580976	1.01435529297707	0.0285691521967709	2.94485844580754	0.545968369105293	4.39506279951758	2.78659636189081	3.48155728070859	0.01435529297707	2.08065766334523	4.59872249967662	1.91073266190291	4.72137265947682	6.49153246180432	0.189033824390017	5.84649331596456	4.8414699994658	9.08860275635716	2.12763327972587	7.04745114041639	0.678071905112638	4.66959375118833	0.01435529297707	1.73984810269933	0.0285691521967709	4.88264304936184	2.84599177066457	4.08151006812092	0.0976107966264223	3.87381319835909	4.18824265626441	1.51096191927738	0.01435529297707	0.124328135002202	5.25738784269265	0.01435529297707	0.214124805352847	4.69655030107857	5.90327934205614	4.64443315240625	2.50589092972996	6.24298351610969	2.877744249949	2.5033487351675	4.94392132655349	4.31686980506433	0.641546029087524	7.70217268536555	3.36317107711924	0	3.8094144442359	7.71080643369935	0	9.8592241619782	0.925999418556223	7.04253490553975	4.27351588970212	0.0285691521967709	0.31034012061215	0.389566811762726	6.3215673760354	3.52105073690096	7.4239142676731	9.26148380277771	4.79701297783614	3.44360665147561	0.454175893185802	5.31578357458946	5.01925711868108	2.98185265328974	6.11811050560737	4	0.01435529297707	2.93168305705981	4.86641348112345	0.01435529297707	2.54349588342577	2.95419631038688	5.11935617703968	8.53297923749724	5.69821847822441	4.25625587320273	4.29057185085208	0.53605290024021	8.63550047549896	0.137503523749935	6.60125080460648	7.73226919950145	4.31469652565629	6.0931798467655	4.57349571549561	6.17192735435346	4.05831649559082	7.16982481080781	6.68678063494856	0	4.48800077083407	3.19377174339668	6.28872767951457	2.27500704749987	6.02502879449152	5.83668159332712	7.33744350517753	2.10433665981474	5.72273923629671	8.16706683818259	0.16349873228288	0.53605290024021	2.47767732756531	0.01435529297707	6.39763185410674	3.0071955014042	2.27202318906105	2.73984810269933	8.01558231168093	4.66845955691538	0.070389327891398	0.0285691521967709	0.22650852980868	0
MCF7	0	0.0426443374084937	4.66845955691538	8.13144543809559	4.03121873061072	5.3037807481771	4.40531168259745	1.99638874644762	3.96069703930431	3.73660487531425	1.79493566280354	0	7.02170180007169	3.5981269599196	2.40599235967584	5.27649666564036	5.18824265626441	0.641546029087524	5.43462822763672	2.97819562968165	2.25398926623079	4.61999982982136	3.85897561429202	3.05831649559082	1.9560566524124	3.15218341905505	5.95582424080644	2.75915583380027	6.69557630622205	6.07489072012634	0.150559676575381	3.0036022366802	4.46532151358055	9.61316327075907	0.613531652917927	5.79493566280354	1.03562390973072	4.74038793246835	1.799087306074	5.08703845676695	0.0285691521967709	5.92291140625819	3.37712374912949	3.60644222813161	0.070389327891398	3.8923910259134	4.34482849699744	1.67355642399014	0.0976107966264223	6.1509657835565	0.0285691521967709	0	0.070389327891398	4.25776496857139	6.56056211851471	4.24184018356467	2.20163386116965	5.81864608282254	0.0426443374084937	2.26903314645524	6.19731499947382	3.4154882710497	2.14404636961671	7.68264352028029	2.3305584000308	0.0426443374084937	4.08491465976794	7.56757586852411	0	8.76649578089267	0.01435529297707	5.41582625747291	4.65420637794429	0.176322772640463	1.14404636961671	0.189033824390017	7.57599297208438	4.71753934339116	7.07446262070454	9.40565206128037	0.66902676550963	0.263034405833794	0.0565835283663675	4.52230689287139	2.65535182861255	2.56803210477128	2.41413553298445	3.32624970083746	0	1.89141918684608	2.79493566280354	0.0426443374084937	3.26753579806873	3.08065766334523	0.22650852980868	8.3390928346072	4.26002565596146	5.70735913208088	1.61823865559545	0.0426443374084937	9.58229254862642	0	2.46205231879643	7.51088282198627	5.26566192452189	6.63255905211795	4.47248777146274	5.57742882803575	3.99729240763651	6.9386386584728	7.36885563438793	0	4.49697358099828	3.40190347160796	5.32228872357088	1.6959938131099	4.95233356636969	7.28447711781042	6.83162393682075	3.63807383718072	5.56407325573694	7.10223819393074	2.68032435684402	1.56071495447448	1.75274859140713	0	2.60644222813161	2.30451104180995	3.85199883711245	3.20163386116965	9.1553495303903	6.31560245663795	0.01435529297707	0.0426443374084937	0.176322772640463	0.16349873228288
SW480	0.01435529297707	0.0285691521967709	5.00135189299996	7.83118054712674	0.422233000683048	4.12928301694497	3.59693514238723	0.333423733725192	2.90881290773955	1.47508488294878	0.748461233004036	0	6.37086174008529	2.70487196445635	3.79181407116183	4.76659516172927	2.99276843076892	2.19219416528334	0	2.73768676140986	0.66902676550963	4.17951105027151	3.92124588858559	2.04264433740849	0.070389327891398	1.79493566280354	4.61941301059794	2.93545974780529	3.70154905694307	4.27052894238072	0.37851162325373	1.46988597627446	4.03210084316702	8.81374913097101	0.31034012061215	3.63226821549951	0.0285691521967709	3.02502879449152	0.01435529297707	0.0565835283663675	0.176322772640463	5.01122725542325	1.68706068833989	3.36317107711924	1.63226821549951	4.05831649559082	3.32481060342048	2.22650852980868	0.0285691521967709	0.678071905112638	1.98550043030488	0.01435529297707	0.970853654340484	3.60644222813161	5.33913738491959	4.09423606984577	1.87578006306849	6.11790278909403	3.13422093976063	1.50589092972996	3.97911075501579	4.12018602753186	3.36597242759338	8.07969810558395	3.82984955984469	0.0285691521967709	3.27202318906105	7.42450224854271	0	10.4800833193901	2.46727948045998	5.76633013095037	2.27500704749987	3.68481873755322	0.111031312388744	0.0565835283663675	5.8522485895654	1.65992455840238	7.09940041455047	10.4493550247536	1.06350294230616	3.7158933705476	0.985500430304885	2.37573453858316	2.11103131238874	3.05831649559082	1.36176835941915	1.96716860753263	0.464668267003444	1.50589092972996	3.37851162325373	0	2.40871186102943	2.03210084316702	2.02147972741045	6.4239142676731	4.35120427725799	3.87578006306849	3.96162332828694	0.16349873228288	8.04149488858135	0.01435529297707	3.00180224263398	7.51514788214984	4.79545527204412	7.99361775772739	2.8094144442359	4.61941301059794	3.47508488294878	6.00786824333334	4.78135971352466	0	4.03474394932473	2.799087306074	5.95698592461258	2.17632277264046	3.25701061820602	4.81864608282254	6.93050081079116	1.44890095114513	4.65248649491816	7.17012536183995	1.8073549220576	1.70487196445635	3.69265037003553	0	2.11103131238874	0.765534746362977	4.63459326844576	2.20789285164133	7.42752237068255	3.81455042346181	0.400537929583729	0.01435529297707	0.659924558402378	0
A549	0.0840642647884745	0.150559676575381	5.33234990037387	8.54430763496058	2.58255600301406	4.87823487911234	4.39985467357243	0.070389327891398	4.76341157447001	0.356143810225275	1.14404636961671	0.189033824390017	7.36282052553426	2.91647664443772	5.84799690655495	4.86393845042397	4.62351574149055	0.823749360308273	0.238786859587116	1.53106949272595	1.6507645591169	4.96855160336395	2.26002565596146	2.7158933705476	0.0565835283663675	3.43429461795993	7.24764274289802	1.29278174922785	4.22496636500027	6.32517051237605	0.214124805352847	6.44111824453277	4.88801258540283	9.22003968392035	2.93357263826102	6.06242396907444	0.432959407276106	4.06004738366994	0.0426443374084937	0.0285691521967709	0.137503523749935	6.62746092712665	3.5957423394744	4.05831649559082	4.68873986801449	4.51916444980607	4.02059109477325	2.65764000520782	0	2.73552217729654	5.56437816856506	0.0285691521967709	0.887525270741587	3.78240856492737	6.15724586737157	5.3501436020178	1.93357263826102	6.60718233743881	0.27500704749987	2.46988597627446	5.63517394667492	4.22727899446832	3.80838505065609	9.17856526551317	5.36422222109353	0.286881147788161	3.84699468696557	7.77300729714285	0	10.3153760272188	0	6.30231905094883	2.52105073690096	0.214124805352847	0.7311832415722	0.150559676575381	5.67976157351685	3.57531233068744	7.84172158112846	10.5804470195987	4.55151601762801	5.34589308568741	0.27500704749987	4.11603199344711	3.48413813120167	4.8414699994658	4.63401235640212	4.29645740737124	0.0565835283663675	4.38335869538511	0.16349873228288	0.01435529297707	2.93734439215023	2.48284828306847	0.124328135002202	7.6748984331333	4.58556349845569	7.35058564480732	2.4905701304462	0.20163386116965	9.24780886588063	0.150559676575381	4.76022094646651	7.59320435406329	5.83945576522463	7.33958281239569	6.20124177119825	5.8497491172824	3.59931779369823	7.33181268381921	1.50080205305716	0.137503523749935	4.16832111573972	4.10601323762212	6.20104568624506	2.32192809488736	4.44360665147561	5.73741636593706	7.23572705983806	1.46466826700344	6.16450472565806	7.03088779930043	3.32337006906127	2.0036022366802	3.16671544496642	0	6.12329372251013	1.98550043030488	3.01970191444255	2.70043971814109	7.9385798533679	5.04614178164472	0.0426443374084937	0	0.963474123974886	0
HA1E	0.37851162325373	0	4.63633460244218	8.95625998185928	3.81659970653491	4.55765515472542	5.71342088486808	0.214124805352847	4.28318097894557	3.16188768237689	0.887525270741587	0.807354922057604	8.13108525957895	4.06350294230616	6.01368556992865	5.58646452588639	4.79025073883523	3.63575439127776	0.0285691521967709	2.68706068833989	1.59931779369823	5.84849775538515	4.77294133783134	4.1168637576909	0.613531652917927	3.98913900736823	7.42147579084686	2.81762325751143	5.90592847817314	6.49521546352043	0.298658315564515	6.56620629346551	5.76712507726907	9.30193053855973	1.40053792958373	1.24488705912353	0.963474123974886	5.12474169241965	0.0426443374084937	0.16349873228288	4.97039353791468	7.15593133876956	3.59215800212536	4.96069703930431	5.14036967065153	5.25512301484779	5.06436554026363	2.66448284036468	0	1.6915341649192	0.0426443374084937	0	0.238786859587116	4.85399564717639	6.69738463076402	4.03562390973072	4.02945288578697	7.85199883711245	5.77768271707355	2.64846544302731	6.21955576916691	4.40599235967584	5.08703845676695	8.9109424801156	5.64414469993285	0.124328135002202	4.82017896241519	8.78760876804587	0	9.46585205871408	2.38404980679516	6.36229453839559	2.55336050333533	0.7311832415722	3.30158764660319	0.150559676575381	6.661350569234	4.58916423669977	6.75755668893945	10.2039597032395	4.1554254317472	4.87381319835909	0.01435529297707	4.59395128394841	3.4931349223055	5.26716121802226	5.18507363787676	5.18030701996943	2.45680614923047	4.76977173924945	3.7235585614721	0.0426443374084937	3.62293035092018	3.21101219348551	2.55581615506164	8.5573488175248	4.52857131887076	6.63633460244218	2.07724299893246	2.86789646399265	9.42670504500799	0.0426443374084937	6.24317398347295	7.82279386981643	5.81966818349646	7.82323984413102	5.6331405495224	6.12205144771389	4.68201139080069	7.49241403533673	1.34482849699744	0.0285691521967709	4.70542503904273	4.2585189247113	5.91001305342134	3.03562390973072	6.66618848987278	6.02192383855476	7.48647304569329	1.60880924267552	6.09782145517113	6.2278565730605	3.76659516172927	2.94673086014031	4.69097573834328	0	5.28983446517751	2.28095631383106	3.10768786931437	3.40599235967584	8.44613213954378	5.75782333620773	0.0565835283663675	0	2.73768676140986	0
HEKTE	0.0285691521967709	0.070389327891398	4.75755668893945	8.93578384631376	4.23955079661364	4.47053686509258	4.9217219470096	0.526068811667588	3.82273014794452	1.91073266190291	1.88362081628567	0.933572638261024	7.84153289899455	4.10013667128545	4.16108148227718	5.1622906135458	4.61941301059794	2.54349588342577	0.070389327891398	2.68929916053589	1.58976348698498	5.0703893278914	4.41616416473313	3.20945336562895	0.214124805352847	3.01970191444255	6.81570350334807	1.83592407425437	4.3526172989585	5.32804655627074	1.49569516262407	5.87258254483322	5.06479664591181	9.48713659875975	0.903038270112912	1.29865831556452	1.09761079662642	4.56010351346474	0.0285691521967709	0.01435529297707	4.18824265626441	6.87172046232123	2.77399632511117	4.30085587126876	3.78555055173926	4.74200621086674	3.85698568978221	1.29278174922785	0.111031312388744	0.895302621333307	0.124328135002202	0.0285691521967709	0.286881147788161	4.13422093976063	6.19140472885276	4.94532677726463	3.67016051412663	7.03529398747272	5.34943605171382	2.42492208821069	5.6979405826171	3.67355642399014	4.51538446063695	8.00697118436404	5.03782146543497	0.070389327891398	4.36806987653208	7.70632333327543	0	8.33096168161273	0.970853654340484	5.50652577904312	2.57531233068744	1.44890095114513	1.57531233068744	0.176322772640463	6.46874621375412	3.77082904603249	6.64587455030903	9.97556140627362	3.55458885167764	3.73009646559547	0.0840642647884745	4.25625587320273	2.93922657772821	4.3305584000308	4.73335434061383	4.33628338786443	1.9560566524124	4.42155994490182	1.91456452349394	0.0426443374084937	3.15055967657538	2.62993940943954	1.17632277264046	7.75421943313514	4.38404980679516	6.24184018356467	2.09761079662642	1.50080205305716	8.62069636777375	0.111031312388744	5.81147103052984	7.14852742516046	5.49793165189628	7.42643250018696	5.3212065669699	5.65477921695952	3.89141918684608	7.08565834440359	2.9429835981871	0	4.38059093426592	3.62993940943954	5.3387809438947	2.09085343045111	5.72492307026661	5.58616424593091	7.37451788104629	1.26903314645524	5.86839045305445	6.2807707701306	2.70265754339091	2.80322703643493	3.93451650158608	0	4.3212065669699	1.77820857639809	2.7311832415722	2.75274859140713	8.28128095789853	5.18863829456139	0.189033824390017	0.0426443374084937	2.44360665147561	0
PC3	0.16349873228288	0.464668267003444	4.16349873228288	8.16239132875691	2.98550043030489	4.02236781302845	3.83289001416474	0.367371065648529	3.07724299893246	0.0285691521967709	0.31034012061215	0.0840642647884745	7.12876767668555	4.14893410452634	3.78764141448333	5.26190685982807	4.73552217729654	0.933572638261024	0.678071905112638	1.16992500144231	1.58496250072116	4.02147972741045	2.72465027173297	2.83995958748953	0.0426443374084937	2.75274859140713	6.50557340028202	1.86789646399265	4.18428029441938	4.6876206320849	0.765534746362977	6.2037884533086	3.62993940943954	8.06037169412222	3.33771109212829	7.04362885087643	0.356143810225275	3.99548451887751	1.36176835941915	0.214124805352847	0.16349873228288	5.28577209324984	2.62058641045188	3.27500704749987	3.17152710603881	4.85249829878989	3.96901230751632	1.799087306074	0.01435529297707	2.01792190799726	0.516015147003665	0.01435529297707	0.0285691521967709	4.18824265626441	5.86567141764843	3.38818953715608	3.23112515787905	5.91193121230905	5.27537959625362	2.4594316186373	5.75167794568758	2.16992500144231	4.25247621413522	7.61721031022467	3.65420637794429	1.10433665981474	3.4594316186373	7.76838284713225	0	8.07825757122474	0.01435529297707	5.57863686247174	2.39780296186249	0.831877241191673	1.11769504266975	0.622930350920177	6.51696065989882	3.12598165385472	6.75928901589507	8.90213389138788	2.43562859405209	4.82832692641482	0.333423733725192	6.23419472295381	2.60644222813161	1.88752527074159	3.15380533607904	2.74200621086674	0.124328135002202	2.82171021503467	3.51601514700366	0	2.43562859405209	2.40599235967584	3.74846123300403	6.8025809860722	5.74953426766926	4.33771109212829	4.76075320806299	0.31034012061215	9.41284502284254	0.01435529297707	4.54905302933729	7.01290383323064	4.22187708107703	6.7771566660045	0.150559676575381	5.47864829453918	4.16591193893569	6.08915913191124	1.97085365434048	0.0426443374084937	4.9676297534662	0.0426443374084937	5.76633013095037	1.72246602447109	4.38887833881199	5.61706334388818	6.70832520714317	1.76553474636298	5.91121220155861	7.37503943134692	3.25550073314839	2.16992500144231	2.97819562968165	0	4.93687346182423	0.948600847493356	3.08915913191124	2.40599235967584	8.81870998533361	3.10097764772482	0.137503523749935	0.20163386116965	1.77820857639809	0
SHSY5Y	0.22650852980868	0.799087306074004	2.35614381022528	6.40514146313634	0.443606651475615	3.79493566280354	4.8444860877578	2.26603689399532	3.85099939471647	0.344828496997441	0.622930350920177	0.16349873228288	7.8295324770414	3.07895134139482	3.77188557851537	3.73660487531425	4.84046323386954	1.36737106564853	0.0426443374084937	4.93545974780529	1.25701061820602	4.0036022366802	0	2.67807190511264	0.0285691521967709	3.877744249949	6.05115454987851	1.97452931248388	5.09169983413681	5.07937811111865	0.807354922057604	1.10433665981474	5.44228003525258	9.18960220860656	2.12763327972587	0	3.70708299177171	3.9429835981871	0	0.0976107966264223	3.674686619928	4.35049724708413	3.85598969730848	4.9518675043269	5.790772037862	4.17472598770613	4.00809242094872	2.13093086982645	0	1.46988597627446	0	0	0.970853654340484	3.83794324189103	5.71259578044703	3	1.68706068833989	6.03408362661542	1.4541758931858	3.01256867350306	5.37121034345557	4.72628628972067	3.28095631383106	8.73450640943025	4.59036248846375	5.17990909001494	4.31397137105902	7.66668559136603	0	6.90291771903359	0	5.80296865100558	3.58616424593091	2.58255600301406	0	0.20163386116965	5.91767043436176	4.51601514700366	7.65513712587521	11.5721317513867	4.04001567884788	1.81557542886257	0.0976107966264223	4.38750040648098	0.963474123974886	1.29278174922785	4.51790555352995	3.79389588254888	2.92789645372882	5.32624970083746	0.214124805352847	1.54101915313356	3.23725777090037	3.05831649559082	0.01435529297707	7.20769766865505	1.27500704749987	4.91217080294995	0.01435529297707	0	8.54016679414055	0	0.389566811762726	6.911811402066	5.30414594120295	6.91802837879751	3.66902676550963	4.36317107711924	6.14893410452634	7.88129753691112	1.04264433740849	0	3.27947129564447	3.89044669267991	4.80529245560071	2.20476675065461	1.89917563048051	5.92718535782637	7.16641418264516	1.92599941855622	5.7457751494858	5.09043004232162	1.65992455840238	3.87085786436376	3.4594316186373	0	5.81301154860562	1.32768736417605	0.01435529297707	2.13093086982645	6.92552476974757	5.22458056608344	0.0840642647884745	0.0285691521967709	0.389566811762726	0
HEPG2	0	0.176322772640463	5.78581207535837	9.28053880694321	1.19534759832222	4.31976242766925	4.5090623863619	0.176322772640463	3.88947354253111	1.19534759832222	6.38560359805024	0.0565835283663675	6.88264304936184	3.8787253414801	4.80477637795583	4.15785216914174	4.44956137461324	1.47508488294878	0	3.25550073314839	0.895302621333307	5.32300971061281	2.27798474729977	3.66448284036468	0.0565835283663675	2.37016428054021	5.35614381022528	0.422233000683048	5.43028527297778	5.63604452602804	1.67807190511264	3.95791459863299	4.03033607837096	8.47061820555103	2.79493566280354	2.96162332828694	0	4.93404464711225	0	2.79285535236249	3.09929520433778	4.74146698640115	3.50080205305716	4.83238371654913	0.111031312388744	3.79389588254888	3.93640237772506	1.43829285157915	0	0.0565835283663675	0.176322772640463	1.30451104180995	0.0426443374084937	2.61823865559545	6.22496636500027	3.80838505065609	2.15055967657538	5.62760683812965	0.189033824390017	2.67581593117227	5.35720008486005	2.63691458035588	4.77820857639809	7.43812647955095	4.79753183957196	0.0426443374084937	3.66220549965362	6.65663937447301	0	8.37138461355796	0.0565835283663675	6.93144668529867	4.75060650483559	0.37851162325373	0.070389327891398	0.0426443374084937	6.35208757799023	3.41006969175638	8.18005832661051	9.36868105851152	4.09423606984577	1.83187724119167	0.286881147788161	3.58135124716878	3.94953493301701	0.7311832415722	1.08406426478847	3.66789212523023	0.070389327891398	3.69932952567316	3.7771566660045	0	4.86740230572754	2.47767732756531	3.70376517879341	8.29677858234629	3.45811948117451	4.48542682717024	3.38818953715608	0.01435529297707	6.86641348112345	0.0565835283663675	4.75808993420181	6.99106827536037	4.63284983011771	7.09000652990382	5.04875931191986	4.95373084981149	2.94110631094643	6.22843392051337	1.21412480535285	0	4.61765111942733	4.17232749165762	4.36317107711924	1.37851162325373	4.12184429787638	6.17971008387062	6.64154602908752	2.28983446517751	5.2585189247113	6.46809451637844	0.37851162325373	0.176322772640463	3.54349588342577	0	6.36911745859982	0.01435529297707	1	1.31034012061215	7.48968742911156	4.93969674069176	0.01435529297707	0.0285691521967709	0	0
A375	0.0285691521967709	0.344828496997441	5.49313492230551	8.68877483015	1.18903382439002	4.37295209791183	4.34198574722862	0.0426443374084937	3.4944156103975	0.575312330687437	2.11769504266975	0.0285691521967709	7.63037634701521	4.54473265593262	3.75702324650746	5.6331405495224	6.5003240492842	2.87578006306849	0.0976107966264223	2.61823865559545	1.46988597627446	4.93828579188405	0.55581615506164	3.854993016757	0.432959407276106	2.8094144442359	6.51727569320958	2.64846544302731	5.25474519762921	6.31632679205715	0.298658315564515	4.58436125251871	4.1333991254172	9.76442378830219	3.56803210477128	3.03386345186628	0.356143810225275	3.83794324189103	0.985500430304885	0.0285691521967709	2.5033487351675	4.82171021503467	3.28835856219366	3.63691458035588	4.93687346182423	4.90929308582382	4.05137210172103	1.19534759832222	0.0285691521967709	4.81557542886257	0.0565835283663675	0.01435529297707	0.0565835283663675	5.18150015170461	6.47378691161437	4.23955079661364	3.16671544496642	5.64154602908752	0.622930350920177	3.27947129564447	6.0746766862945	3.74416109557041	1.09761079662642	8.01156272689108	4.51853513898218	1.54596836910529	4.24260250592898	7.57296543822921	0	9.16721740907882	4.80838505065609	3.35755200461808	3.05137210172103	5.60080495498947	0.863938450423971	0.111031312388744	6.01947953370363	4.14730669878029	6.86727873970966	9.73569140243144	3.4276061727819	1.4905701304462	0.214124805352847	3.77820857639809	5.38370429247405	4.18348651445939	5.22458056608344	4.23878685958712	3.73984810269933	3.01435529297707	0.632268215499513	0.01435529297707	4.46858331700683	3.47248777146274	2.39780296186249	7.55826763405574	4.45154083301783	4.74416109557041	7.4858293087019	1.4594316186373	8.71836162613836	0.070389327891398	5.59245703726808	7.48550733245979	5.49761236561836	7.53939148509304	5.10475598696226	5.64846544302731	3.08065766334523	7.20349483469745	5.98276546258365	0	4.65191274464578	3.68706068833989	5.40633257782171	1.92219784839637	3.75595576955096	5.62497817956904	7.78103179102276	1.36176835941915	6.3019533951261	8.0089327768979	3.37155886261196	2.38404980679516	3.74523733212975	0	4.87430516598223	1.67355642399014	1.67807190511264	2.69821847822441	7.86517649653178	4.96670731415032	0.0285691521967709	0.111031312388744	1.71808758396052	0
HCC515	0	0.0840642647884745	4.5385381636298	8.16827096556883	1.38956681176273	5.01925711868108	4.30085587126876	0.286881147788161	3.48542682717024	0.55581615506164	1.81966818349646	0.0426443374084937	6.78711898281334	3.4867143730307	5.21606678308703	5.61382629093404	3.97727992349992	0.454175893185802	0.070389327891398	2.70265754339091	1.07724299893246	6.63778411029132	1.41142624572647	2.62058641045188	0.575312330687437	3.54473265593262	7.03661322405712	1.20789285164133	4.12184429787638	5.01077983875324	0.454175893185802	5.790772037862	4.06608919045777	8.27006167272776	2.54843662469604	8.67047922046114	1.09085343045111	4.43295940727611	0.0285691521967709	0.01435529297707	0.16349873228288	5.15055967657538	2.60880924267552	4.35191096110308	0.16349873228288	4.35543919724868	2.96347412397489	4.85648777949568	0	0.0426443374084937	6.11748726632592	0.823749360308273	0.37851162325373	4.48026512205446	5.98709343705815	5.80967167790706	3.11935617703968	5.81864608282254	0.31034012061215	2.42223300068305	5.62117275268344	4.05311133645956	3.75488750216347	7.63930452775865	5.11852584893567	0.070389327891398	3.41818994794577	7.13093086982645	0	7.35676006440924	0.01435529297707	6.27463440251759	2.15704371014558	0.111031312388744	0.31034012061215	0.333423733725192	6.71506967937999	4.93310047493137	7.30085587126876	9.10467737240534	3.01435529297707	4.70929063572336	0.37851162325373	4.69932952567316	4.61353165291793	4.07638806851284	1.87970576628229	4.0071955014042	0.0426443374084937	3.43162295971329	4.268284666521	0.0565835283663675	3.23725777090037	2.58496250072116	0.565597175854225	7.29434504833834	4.19140472885276	5.73552217729654	3.47508488294878	1.18269229751619	8.43425291132561	0	5.01792190799726	7.00539998774259	4.76128527336162	6.59916899321943	5.27388882366849	5.83592407425438	4.45285896471381	6.78004757606187	2.24792751344359	0	3.99909803370561	3.83187724119167	4.21800615028443	1.18269229751619	5.02059109477325	5.6573541815237	6.73348992588162	4.31251996747495	6.24107745817504	7.24697805961472	3.94016675048282	0.84799690655495	1.93734439215023	0	5.03165985430805	0.910732661902913	1.41683974191283	2.36176835941915	7.970163424661	5.36737106564853	0.0976107966264223	0.0565835283663675	1.24488705912353	0
VCAP	0	4.54163873443614	4.61999982982136	9.1182662733685	2.38128337250378	6.58345891013077	5.42592920520858	4.22573765346606	4.19770815795585	0.748461233004036	3.11270013274936	0.0426443374084937	7.87227471735411	3.89141918684608	3.18269229751619	5.43796008833447	4.82781902461732	0.344828496997441	0.137503523749935	2.14404636961671	0.6959938131099	4.6667565918848	2.611172380044	4.19770815795585	0.0285691521967709	3.05831649559082	5.54225804976692	2.35614381022528	3.81352468929781	6.73755157000828	0.250961573533219	0.516015147003665	5.09550251765867	10.0964516244776	4.56010351346474	0.176322772640463	1.04264433740849	4.22110372536788	2.43829285157915	1.8073549220576	0.20163386116965	4.44691786486603	3.26303440583379	3.81659970653491	3.72246602447109	3.52481592835751	3.78868571061353	4.62877359520165	0.22650852980868	3.50716034911752	0.0285691521967709	0	0.070389327891398	4.40531168259745	5.97773784924282	4.77241355474848	3.43162295971329	5.61529857909211	2.27500704749987	2.6959938131099	6.35772793231062	4.8870377914192	5.60288440871842	7.42861141846713	3.89044669267991	0.111031312388744	3.58014548442338	6.93061907902428	0	8.82104049198626	0.464668267003444	7.64817779572482	3.52857131887076	6.66547804762624	1.08406426478847	0.22650852980868	6.57182847305027	4.1168637576909	6.90761176285217	9.12036749371516	4.18586654531133	2.17312743348066	0.400537929583729	3.11103131238874	3.10433665981474	3.98823022306046	5.00450139223494	3.59215800212536	0.01435529297707	2.30451104180995	4.47638168756724	0.0426443374084937	4.02856915219677	4.4988890869768	5.21529030565123	9.37480041086351	6.36876834909033	3.7771566660045	1.32192809488736	1.89141918684608	8.94444853103254	0.01435529297707	5.6915341649192	7.28762004411207	5.38266725274504	6.9792251048784	3.84297883178832	5.52544250601812	5.8008998999203	7.11904486000033	5.37920505996061	0	3.70818723602071	3.11769504266975	5.62643913669732	1.39506279951758	5.09381367340273	5.456149034648	6.24164954001753	2.48284828306847	6.25134038278862	7.74409380412046	0.321928094887362	3.05137210172103	4.56315813040281	0.01435529297707	7.0036022366802	3.51222688651396	3.63110428236588	2.43028527297778	7.78070379396761	4.00629802390037	0.150559676575381	0.20163386116965	0.333423733725192	0
